day,timestamp,product,profit_and_loss
-2,7000,INTARIAN_PEPPER_ROOT,13.0
-2,7000,ASH_COATED_OSMIUM,156.0
-2,7100,INTARIAN_PEPPER_ROOT,53.0
-2,7100,ASH_COATED_OSMIUM,156.0
-2,7200,INTARIAN_PEPPER_ROOT,53.0
-2,7200,ASH_COATED_OSMIUM,161.0
-2,7300,INTARIAN_PEPPER_ROOT,53.0
-2,7300,ASH_COATED_OSMIUM,146.0
-2,7400,INTARIAN_PEPPER_ROOT,133.0
-2,7400,ASH_COATED_OSMIUM,146.0
-2,7500,INTARIAN_PEPPER_ROOT,493.0
-2,7500,ASH_COATED_OSMIUM,136.0
-2,7600,INTARIAN_PEPPER_ROOT,53.0
-2,7600,ASH_COATED_OSMIUM,126.0
-2,7700,INTARIAN_PEPPER_ROOT,53.0
-2,7700,ASH_COATED_OSMIUM,151.0
-2,7800,INTARIAN_PEPPER_ROOT,53.0
-2,7800,ASH_COATED_OSMIUM,101.0
-2,7900,INTARIAN_PEPPER_ROOT,53.0
-2,7900,ASH_COATED_OSMIUM,146.0
-2,8000,INTARIAN_PEPPER_ROOT,573.0
-2,8000,ASH_COATED_OSMIUM,91.0
-2,8100,INTARIAN_PEPPER_ROOT,13.0
-2,8100,ASH_COATED_OSMIUM,136.0
-2,8200,INTARIAN_PEPPER_ROOT,133.0
-2,8200,ASH_COATED_OSMIUM,141.0
-2,8300,INTARIAN_PEPPER_ROOT,133.0
-2,8300,ASH_COATED_OSMIUM,126.0
-2,8400,INTARIAN_PEPPER_ROOT,133.0
-2,8400,ASH_COATED_OSMIUM,136.0
-2,8500,INTARIAN_PEPPER_ROOT,133.0
-2,8500,ASH_COATED_OSMIUM,136.0
-2,8600,INTARIAN_PEPPER_ROOT,253.0
-2,8600,ASH_COATED_OSMIUM,146.0
-2,8700,INTARIAN_PEPPER_ROOT,133.0
-2,8700,ASH_COATED_OSMIUM,136.0
-2,8800,INTARIAN_PEPPER_ROOT,133.0
-2,8800,ASH_COATED_OSMIUM,136.0
-2,8900,INTARIAN_PEPPER_ROOT,133.0
-2,8900,ASH_COATED_OSMIUM,106.0
-2,9000,INTARIAN_PEPPER_ROOT,-307.0
-2,9000,ASH_COATED_OSMIUM,126.0
-2,9100,INTARIAN_PEPPER_ROOT,213.0
-2,9100,ASH_COATED_OSMIUM,121.0
-2,9200,INTARIAN_PEPPER_ROOT,293.0
-2,9200,ASH_COATED_OSMIUM,126.0
-2,9300,INTARIAN_PEPPER_ROOT,213.0
-2,9300,ASH_COATED_OSMIUM,126.0
-2,9400,INTARIAN_PEPPER_ROOT,-227.0
-2,9400,ASH_COATED_OSMIUM,131.0
-2,9500,INTARIAN_PEPPER_ROOT,93.0
-2,9500,ASH_COATED_OSMIUM,116.0
-2,9600,INTARIAN_PEPPER_ROOT,133.0
-2,9600,ASH_COATED_OSMIUM,116.0
-2,9700,INTARIAN_PEPPER_ROOT,213.0
-2,9700,ASH_COATED_OSMIUM,106.0
-2,9800,INTARIAN_PEPPER_ROOT,213.0
-2,9800,ASH_COATED_OSMIUM,106.0
-2,9900,INTARIAN_PEPPER_ROOT,653.0
-2,9900,ASH_COATED_OSMIUM,106.0
-2,10000,INTARIAN_PEPPER_ROOT,253.0
-2,10000,ASH_COATED_OSMIUM,121.0
-2,10100,INTARIAN_PEPPER_ROOT,293.0
-2,10100,ASH_COATED_OSMIUM,106.0
-2,10200,INTARIAN_PEPPER_ROOT,293.0
-2,10200,ASH_COATED_OSMIUM,106.0
-2,10300,INTARIAN_PEPPER_ROOT,373.0
-2,10300,ASH_COATED_OSMIUM,96.0
-2,10400,INTARIAN_PEPPER_ROOT,413.0
-2,10400,ASH_COATED_OSMIUM,66.0
-2,10500,INTARIAN_PEPPER_ROOT,613.0
-2,10500,ASH_COATED_OSMIUM,86.0
-2,10600,INTARIAN_PEPPER_ROOT,293.0
-2,10600,ASH_COATED_OSMIUM,81.0
-2,10700,INTARIAN_PEPPER_ROOT,293.0
-2,10700,ASH_COATED_OSMIUM,116.0
-2,10800,INTARIAN_PEPPER_ROOT,413.0
-2,10800,ASH_COATED_OSMIUM,106.0
-2,10900,INTARIAN_PEPPER_ROOT,413.0
-2,10900,ASH_COATED_OSMIUM,86.0
-2,11000,INTARIAN_PEPPER_ROOT,333.0
-2,11000,ASH_COATED_OSMIUM,96.0
-2,11100,INTARIAN_PEPPER_ROOT,373.0
-2,11100,ASH_COATED_OSMIUM,96.0
-2,11200,INTARIAN_PEPPER_ROOT,373.0
-2,11200,ASH_COATED_OSMIUM,96.0
-2,11300,INTARIAN_PEPPER_ROOT,13.0
-2,11300,ASH_COATED_OSMIUM,106.0
-2,11400,INTARIAN_PEPPER_ROOT,453.0
-2,11400,ASH_COATED_OSMIUM,106.0
-2,11500,INTARIAN_PEPPER_ROOT,373.0
-2,11500,ASH_COATED_OSMIUM,86.0
-2,11600,INTARIAN_PEPPER_ROOT,373.0
-2,11600,ASH_COATED_OSMIUM,71.0
-2,11700,INTARIAN_PEPPER_ROOT,373.0
-2,11700,ASH_COATED_OSMIUM,26.0
-2,11800,INTARIAN_PEPPER_ROOT,373.0
-2,11800,ASH_COATED_OSMIUM,106.0
-2,11900,INTARIAN_PEPPER_ROOT,493.0
-2,11900,ASH_COATED_OSMIUM,106.0
-2,12000,INTARIAN_PEPPER_ROOT,413.0
-2,12000,ASH_COATED_OSMIUM,121.0
-2,12100,INTARIAN_PEPPER_ROOT,453.0
-2,12100,ASH_COATED_OSMIUM,101.0
-2,12200,INTARIAN_PEPPER_ROOT,453.0
-2,12200,ASH_COATED_OSMIUM,106.0
-2,12300,INTARIAN_PEPPER_ROOT,453.0
-2,12300,ASH_COATED_OSMIUM,106.0
